studyid,treat,acm_r,acm_n
Aldo-DHF,BB+MRA+RASi,1,213
Aldo-DHF,BB+RASi,0,209
ARCH-J,RASi,2,148
ARCH-J,PCO,3,144
AREA IN-CHF,BB+MRA+RASi,6,215
AREA IN-CHF,BB+RASi,12,223
Aronow_1997,BB+RASi,44,79
Aronow_1997,RASi,60,79
ATMOSPHERE,BB+RASi,595,2340
ATMOSPHERE,BB,654,2340
Australia/New Zealand Heart Failure Research Collaborative Group trial,BB+RASi,20,207
Australia/New Zealand Heart Failure Research Collaborative Group trial,RASi,26,208
Barabino_1991,RASi,4,52
Barabino_1991,PCO,6,49
BEST,BB+RASi,411,1354
BEST,RASi,449,1354
Brown Jr_1995,RASi,3,116
Brown Jr_1995,PCO,4,125
CandHeart,BB+RASi,6,256
CandHeart,BB,8,258
CARMEN,BB+RASi,14,191
CARMEN,BB,14,191
CARMEN,RASi,14,190
CELICARD,BB+RASi,2,62
CELICARD,RASi,4,62
CHARM-Added,BB+RASi,377,1276
CHARM-Added,BB,412,1272
CHARM-Alternative,BB+RASi,265,1013
CHARM-Alternative,BB,296,1015
CHARM-Preserved,BB+RASi,244,1514
CHARM-Preserved,BB,237,1509
CHRISTMAS,BB+RASi,8,187
CHRISTMAS,RASi,6,188
CIBIS,BB+RASi,53,320
CIBIS,RASi,67,321
CIBIS-II,BB+RASi,156,1327
CIBIS-II,RASi,228,1320
CIBIS-III,BB,23,505
CIBIS-III,RASi,32,505
Cice_2000,BB+RASi,2,78
Cice_2000,RASi,4,77
Cice_2001,BB+RASi,30,58
Cice_2001,RASi,41,56
Cice_2010,BB+RASi,58,165
Cice_2010,BB,91,167
Cicoira_2002,BB+MRA+RASi,3,54
Cicoira_2002,BB+RASi,4,52
CONSENSUS,MRA+RASi,50,127
CONSENSUS,MRA,68,126
COPERNICUS,BB+RASi,130,1156
COPERNICUS,RASi,190,1133
DAPA-HF,BB+MRA+RASi+SGLT2i,276,2373
DAPA-HF,BB+MRA+RASi,329,2371
DAPPER,SGLT2i,3,144
DAPPER,PCO,5,141
DELIVER,BB+SGLT2i,497,3131
DELIVER,BB,526,3132
EMPEROR-Preserved,BB+RASi+SGLT2i,422,2997
EMPEROR-Preserved,BB+RASi,427,2991
